CMDLINE C:\Python310\python.exe main.py
MEM 227.281250 1721678672.7619
MEM 227.250000 1721678672.8713
MEM 225.078125 1721678672.9796
MEM 225.011719 1721678673.0896
MEM 225.414062 1721678673.1983
MEM 224.429688 1721678673.3083
MEM 227.187500 1721678673.4203
MEM 224.800781 1721678673.5323
MEM 218.687500 1721678673.6443
MEM 226.347656 1721678673.7563
MEM 225.257812 1721678673.8673
MEM 228.410156 1721678673.9763
MEM 227.507812 1721678674.0843
MEM 219.269531 1721678674.1963
MEM 222.332031 1721678674.3053
MEM 227.371094 1721678674.4163
MEM 228.781250 1721678674.5283
MEM 226.472656 1721678674.6383
MEM 227.558594 1721678674.7483
MEM 232.144531 1721678674.8573
MEM 220.953125 1721678674.9673
MEM 231.917969 1721678675.0793
MEM 224.074219 1721678675.1893
MEM 229.847656 1721678675.3013
MEM 220.527344 1721678675.4133
MEM 232.257812 1721678675.5253
MEM 232.042969 1721678675.6373
MEM 230.046875 1721678675.7495
MEM 230.289062 1721678675.8615
MEM 223.171875 1721678675.9735
MEM 230.984375 1721678676.0855
MEM 226.828125 1721678676.1975
MEM 225.417969 1721678676.3075
MEM 219.550781 1721678676.4157
MEM 227.437500 1721678676.5275
MEM 226.812500 1721678676.6377
MEM 228.101562 1721678676.7458
MEM 219.917969 1721678676.8572
MEM 220.015625 1721678676.9692
MEM 227.984375 1721678677.0812
MEM 228.882812 1721678677.1932
MEM 232.015625 1721678677.3052
MEM 229.019531 1721678677.4152
MEM 228.550781 1721678677.5252
MEM 233.480469 1721678677.6352
MEM 233.343750 1721678677.7461
MEM 220.730469 1721678677.8576
MEM 230.691406 1721678677.9697
MEM 220.910156 1721678678.0818
MEM 220.253906 1721678678.1917
MEM 220.347656 1721678678.3037
MEM 227.765625 1721678678.4157
MEM 228.750000 1721678678.5277
MEM 234.949219 1721678678.6377
MEM 234.218750 1721678678.7457
MEM 234.234375 1721678678.8556
MEM 221.722656 1721678678.9661
MEM 230.496094 1721678679.0781
MEM 230.632812 1721678679.1902
MEM 230.953125 1721678679.3022
MEM 236.265625 1721678679.4118
MEM 235.953125 1721678679.5237
MEM 225.515625 1721678679.6357
MEM 222.332031 1721678679.7457
MEM 232.394531 1721678679.8577
MEM 231.554688 1721678679.9697
MEM 231.578125 1721678680.0797
MEM 230.210938 1721678680.1917
MEM 233.410156 1721678680.3027
MEM 232.089844 1721678680.4143
MEM 234.914062 1721678680.5263
MEM 234.886719 1721678680.6383
MEM 237.984375 1721678680.7483
MEM 222.285156 1721678680.8601
MEM 232.691406 1721678680.9721
MEM 222.441406 1721678681.0841
MEM 232.050781 1721678681.1957
MEM 235.933594 1721678681.3071
MEM 223.582031 1721678681.4147
MEM 237.359375 1721678681.5241
MEM 232.140625 1721678681.6341
MEM 230.886719 1721678681.7441
MEM 222.988281 1721678681.8537
MEM 236.468750 1721678681.9621
MEM 228.714844 1721678682.0717
MEM 233.507812 1721678682.1831
MEM 240.042969 1721678682.2951
MEM 241.332031 1721678682.4071
MEM 226.726562 1721678682.5181
MEM 237.789062 1721678682.6286
MEM 235.078125 1721678682.7401
MEM 224.566406 1721678682.8521
MEM 231.003906 1721678682.9642
MEM 237.968750 1721678683.0756
MEM 235.054688 1721678683.1877
MEM 231.449219 1721678683.2996
MEM 240.363281 1721678683.4106
MEM 234.019531 1721678683.5216
MEM 225.093750 1721678683.6336
MEM 241.535156 1721678683.7457
MEM 235.039062 1721678683.8557
MEM 237.503906 1721678683.9676
MEM 238.097656 1721678684.0785
MEM 225.464844 1721678684.1896
MEM 237.539062 1721678684.3016
MEM 237.441406 1721678684.4136
MEM 242.171875 1721678684.5246
MEM 240.796875 1721678684.6348
MEM 236.640625 1721678684.7450
MEM 237.441406 1721678684.8570
MEM 236.859375 1721678684.9691
MEM 235.488281 1721678685.0810
MEM 239.101562 1721678685.1926
MEM 238.281250 1721678685.3024
MEM 238.117188 1721678685.4100
MEM 241.273438 1721678685.5176
MEM 233.171875 1721678685.6266
MEM 242.390625 1721678685.7347
MEM 241.765625 1721678685.8460
MEM 241.378906 1721678685.9580
MEM 240.460938 1721678686.0680
MEM 231.156250 1721678686.1785
MEM 226.820312 1721678686.2906
MEM 241.066406 1721678686.4025
MEM 238.445312 1721678686.5145
MEM 240.789062 1721678686.6265
MEM 241.750000 1721678686.7385
MEM 237.132812 1721678686.8485
MEM 238.902344 1721678686.9605
MEM 242.906250 1721678687.0715
MEM 226.496094 1721678687.1832
MEM 236.722656 1721678687.2904
MEM 241.105469 1721678687.4014
MEM 239.515625 1721678687.5094
MEM 239.476562 1721678687.6174
MEM 239.542969 1721678687.7284
MEM 244.246094 1721678687.8364
MEM 226.964844 1721678687.9464
MEM 227.910156 1721678688.0554
MEM 227.976562 1721678688.1655
MEM 233.570312 1721678688.2775
MEM 242.902344 1721678688.3890
MEM 239.753906 1721678688.5010
MEM 242.843750 1721678688.6130
MEM 239.574219 1721678688.7246
MEM 242.066406 1721678688.8360
MEM 234.191406 1721678688.9440
MEM 244.191406 1721678689.0560
MEM 248.093750 1721678689.1680
MEM 243.250000 1721678689.2800
MEM 242.179688 1721678689.3913
MEM 242.097656 1721678689.5013
MEM 228.871094 1721678689.6133
MEM 248.539062 1721678689.7254
MEM 241.632812 1721678689.8373
MEM 246.378906 1721678689.9493
MEM 247.820312 1721678690.0613
MEM 245.640625 1721678690.1723
MEM 229.378906 1721678690.2824
MEM 229.449219 1721678690.3942
MEM 228.636719 1721678690.5035
MEM 234.953125 1721678690.6144
MEM 247.457031 1721678690.7264
MEM 232.214844 1721678690.8364
MEM 243.261719 1721678690.9484
MEM 241.328125 1721678691.0568
MEM 230.496094 1721678691.1654
MEM 242.882812 1721678691.2774
MEM 250.179688 1721678691.3876
MEM 244.191406 1721678691.4976
MEM 248.984375 1721678691.6076
MEM 248.300781 1721678691.7196
MEM 230.257812 1721678691.8316
MEM 230.046875 1721678691.9429
MEM 247.144531 1721678692.0524
MEM 249.359375 1721678692.1644
MEM 244.554688 1721678692.2764
MEM 247.640625 1721678692.3864
MEM 243.968750 1721678692.4958
MEM 230.718750 1721678692.6077
MEM 245.394531 1721678692.7197
MEM 251.597656 1721678692.8308
MEM 251.453125 1721678692.9404
MEM 230.937500 1721678693.0514
MEM 252.191406 1721678693.1614
MEM 244.722656 1721678693.2723
MEM 230.257812 1721678693.3824
MEM 242.964844 1721678693.4944
MEM 247.265625 1721678693.6064
MEM 244.792969 1721678693.7164
MEM 246.808594 1721678693.8284
MEM 250.667969 1721678693.9384
MEM 250.218750 1721678694.0474
MEM 245.328125 1721678694.1563
MEM 253.460938 1721678694.2663
MEM 245.500000 1721678694.3763
MEM 246.519531 1721678694.4847
MEM 236.324219 1721678694.5937
MEM 250.253906 1721678694.7056
MEM 254.109375 1721678694.8171
MEM 231.937500 1721678694.9283
MEM 246.035156 1721678695.0403
MEM 248.324219 1721678695.1503
MEM 252.011719 1721678695.2623
MEM 233.164062 1721678695.3738
MEM 246.417969 1721678695.4854
MEM 246.695312 1721678695.5973
MEM 256.707031 1721678695.7093
MEM 253.371094 1721678695.8214
MEM 231.578125 1721678695.9335
MEM 247.742188 1721678696.0443
MEM 246.937500 1721678696.1553
MEM 232.656250 1721678696.2653
MEM 247.125000 1721678696.3753
MEM 253.593750 1721678696.4873
MEM 253.746094 1721678696.5963
MEM 232.003906 1721678696.7067
MEM 249.535156 1721678696.8164
MEM 255.976562 1721678696.9263
MEM 233.039062 1721678697.0343
MEM 250.015625 1721678697.1441
MEM 255.781250 1721678697.2522
MEM 247.894531 1721678697.3623
MEM 252.796875 1721678697.4722
MEM 233.320312 1721678697.5842
MEM 249.984375 1721678697.6962
MEM 251.113281 1721678697.8082
MEM 253.476562 1721678697.9203
MEM 233.531250 1721678698.0302
MEM 248.480469 1721678698.1422
MEM 255.753906 1721678698.2542
MEM 233.714844 1721678698.3662
MEM 252.859375 1721678698.4767
MEM 254.164062 1721678698.5882
MEM 258.792969 1721678698.6982
MEM 254.726562 1721678698.8102
MEM 257.234375 1721678698.9222
MEM 234.066406 1721678699.0342
MEM 249.847656 1721678699.1462
MEM 234.179688 1721678699.2582
MEM 251.113281 1721678699.3666
MEM 234.304688 1721678699.4782
MEM 252.382812 1721678699.5902
MEM 250.769531 1721678699.7017
MEM 251.996094 1721678699.8132
MEM 251.062500 1721678699.9242
MEM 247.457031 1721678700.0322
MEM 256.757812 1721678700.1437
MEM 248.011719 1721678700.2541
MEM 255.105469 1721678700.3653
MEM 259.472656 1721678700.4753
MEM 254.582031 1721678700.5873
MEM 255.613281 1721678700.6973
MEM 254.695312 1721678700.8092
MEM 257.988281 1721678700.9202
MEM 252.304688 1721678701.0302
MEM 250.816406 1721678701.1412
MEM 252.152344 1721678701.2522
MEM 256.058594 1721678701.3632
MEM 255.394531 1721678701.4732
MEM 256.761719 1721678701.5832
MEM 252.746094 1721678701.6932
MEM 258.074219 1721678701.8053
MEM 259.734375 1721678701.9173
MEM 252.589844 1721678702.0293
MEM 255.800781 1721678702.1393
MEM 259.875000 1721678702.2503
MEM 251.613281 1721678702.3623
MEM 244.441406 1721678702.4723
MEM 252.480469 1721678702.5823
MEM 255.406250 1721678702.6923
MEM 261.359375 1721678702.8043
MEM 262.816406 1721678702.9163
MEM 258.656250 1721678703.0283
MEM 254.628906 1721678703.1403
MEM 236.484375 1721678703.2523
MEM 254.125000 1721678703.3643
MEM 255.800781 1721678703.4723
MEM 236.222656 1721678703.5823
MEM 252.468750 1721678703.6931
MEM 251.753906 1721678703.8042
MEM 252.222656 1721678703.9142
MEM 255.800781 1721678704.0262
MEM 256.320312 1721678704.1377
MEM 262.703125 1721678704.2497
MEM 255.929688 1721678704.3597
MEM 253.136719 1721678704.4697
MEM 254.652344 1721678704.5797
MEM 262.507812 1721678704.6897
MEM 259.871094 1721678704.8007
MEM 258.972656 1721678704.9105
MEM 254.957031 1721678705.0225
MEM 253.632812 1721678705.1345
MEM 236.984375 1721678705.2465
MEM 254.246094 1721678705.3585
MEM 249.492188 1721678705.4705
MEM 255.582031 1721678705.5825
MEM 258.015625 1721678705.6945
